           1      70.716      70.716           0
           2     86.2923     78.5042     5.50706
           3      81.652     79.5534     3.77001
           4     76.7989     78.8648     2.88972
           5       75.29     78.1499     2.39859
           6     74.9869     77.6227     2.05593
           7     72.0116     76.8211     1.91212
           8     79.6583     77.1758     1.70568
           9     82.8354     77.8046     1.62796
          10     77.4199     77.7661     1.46562
          11     76.3825     77.6403     1.33777
          12     77.6818     77.6438     1.22629
          13     77.4626     77.6299     1.13204
          14     69.0491      77.017     1.20574
          15     81.7054     77.3295     1.16516
          16     80.4126     77.5222     1.10816
          17     76.8365     77.4819     1.04371
          18     85.0455     77.9021     1.06696
          19     81.3059     78.0812     1.02574
          20     85.1005     78.4322     1.03275
