           1 0.000710969 0.000710969           0
           2 0.000710969 0.000710969           0
           3           0 0.000473979 0.000193501
           4  0.00142165 0.000710898 0.000251315
           5  0.00815897  0.00220051  0.00134744
           6           0  0.00183376  0.00117171
           7           0  0.00157179  0.00103319
           8           0  0.00137532 0.000922537
           9           0  0.00122251 0.000832593
          10 0.000710969  0.00117135 0.000750904
          11  0.00106635  0.00116181   0.0006827
          12           0  0.00106499 0.000632636
          13           0 0.000983067 0.000589252
          14           0 0.000912848 0.000551331
          15  0.00106635 0.000923081 0.000514671
          16           0 0.000865389 0.000485726
          17  0.00248715 0.000960786 0.000466428
          18  0.00106635 0.000966651 0.000440553
          19           0 0.000915775 0.000420293
          20           0 0.000869986 0.000401765
           1 0.000746979 0.000746979           0
           2 0.000739692 0.000743336  2.5765e-06
           3-1.57898e-13 0.000495557 0.000202318
           4   0.0394061   0.0102232  0.00842575
           5  0.00655173  0.00948891  0.00677252
           6-1.57898e-13  0.00790742  0.00582549
           7-1.57898e-13  0.00677779  0.00510163
           8-1.57898e-13  0.00593057  0.00453373
           9-1.57898e-13  0.00527161  0.00407759
          10-1.57898e-13  0.00474445  0.00370375
          11-1.57898e-13  0.00431314  0.00339206
          12-1.57898e-13  0.00395371  0.00312838
          13-1.57898e-13  0.00364958  0.00290248
          14-1.57898e-13  0.00338889  0.00270684
          15  0.00110228  0.00323645  0.00253067
          16-1.57898e-13  0.00303418  0.00238058
          17  0.00255885  0.00300622  0.00224071
          18 0.000732476   0.0028799  0.00211978
          19-1.57898e-13  0.00272832  0.00201362
          20-1.57898e-13  0.00259191  0.00191756
