           1    0.999996    0.999996           0
           2           1    0.999998 1.41422e-06
           3           1    0.999999 1.08867e-06
           4     0.99994    0.999984 1.27279e-05
           5    0.999976    0.999982 1.02824e-05
           6           1    0.999985 8.97734e-06
           7    0.999996    0.999987 7.82312e-06
           8           1    0.999989 7.01561e-06
           9           1     0.99999 6.35139e-06
          10           1    0.999991 5.79793e-06
          11    0.999996    0.999991 5.29008e-06
          12           1    0.999992 4.89898e-06
          13    0.999996    0.999992 4.53179e-06
          14           1    0.999993 4.24127e-06
          15    0.999996    0.999993 3.96369e-06
          16    0.999308     0.99995 4.16233e-05
          17           1    0.999953 3.92776e-05
          18           1    0.999956 3.71815e-05
          19           1    0.999958 3.52974e-05
          20           1     0.99996 3.35946e-05
